incident_id,date,address,lat,lon,killed,incident_time
2021387,2021-06-01,2475 Central Ave,26.6320284,-81.8640404,1,12:34 AM
2021503,2021-06-01,N/A,29.6947,-91.219,1,2:30 AM
2021526,2021-06-01,Abundance St and St Roch Ave,29.9891,-90.05363439999999,1,6:08 AM
2021558,2021-06-01,1900 block of Woodbridge St,42.3350654,-83.02699059999999,1,1:25 AM
2021563,2021-06-01,2900 block of Jonah Dr,32.7298951,-97.4849467,3,12:14 AM
2021586,2021-06-01,8710 Sierra Hwy,34.5192483,-118.2859972,2,10:55 AM
2021599,2021-06-01,9102 S Wentworth Ave,41.7287661,-87.6290567,1,12:46 PM
2021633,2021-06-01,Van Ness Ave and Woodward Ave,36.7226359,-119.7790283,1,5:30 AM
2021643,2021-06-01,1210 Murfreesboro Pike,36.1219803,-86.7024483,1,12:10 AM
2021674,2021-06-01,3400 block of Fort Ave,37.3930038,-79.16930150000002,1,12:01 AM
2021692,2021-06-01,542 Pheasant Run Dr,33.5382003,-82.1324953,2,8:00 AM
2021747,2021-06-01,Bismark Dr,32.4702177,-84.9080555,1,12:00 AM
2021798,2021-06-01,2905 Church St,33.8614423,-79.0931031,1,2:30 AM
2021803,2021-06-01,SC-576 and SC-41 ALT,34.1458285,-79.3843073,1,4:00 AM
2021886,2021-06-01,1100 Vermont Ave,35.9810155,-83.9455442,1,1:40 PM
2021894,2021-06-01,800 block of Ridgepoint Dr,38.95086149999999,-84.51401349999999,1,7:30 AM
2021898,2021-06-01,100 block of Hosick Ave,37.15758599999999,-87.6882559,1,1:19 AM
2021918,2021-06-01,Smiley Wyrick Rd and Friendship Church Rd,36.179836,-79.6468199,1,N/A
2021977,2021-06-01,4600 block of S Prairie Ave,41.8109606,-87.6200958,1,5:55 PM
2021996,2021-06-01,62 Harwell Rd NW,33.75448100000001,-84.493855,1,6:00 PM
2022052,2021-06-01,N 22nd St and University St,38.6527851,-90.2049238,1,2:50 PM
